,Question,choice 1,choice 2,choice 3,choice 4
2612,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
2613,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
2614,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
2615,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
2616,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
2617,What type of person typically contracts illness?,hospital,head,sick person,elderly person
2618,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
2619,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
2620,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
2621,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
2622,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
2623,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
2624,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
2625,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
2626,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
2627,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
2628,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
2629,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
2630,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
2631,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
2632,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
2633,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
2634,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
2635,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
2636,What is a great place to lay in the sun?,in the basement,west,solar system,beach
2637,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
2638,The president is the leader of what institution?,walmart,white house,country,corporation
2639,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
2640,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
2641,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
2642,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
2643,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
2644,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
2645,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
2646,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
2647,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
2648,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
2649,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
2650,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
2651,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
2652,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
2653,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
2654,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
2655,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
2656,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
2657,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
2658,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
2659,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
2660,What do drugs do?,damage,cloud mind,lower i.q,cause illness
2661,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
2662,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
2663,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
2664,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
2665,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
2666,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
2667,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
2668,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
2669,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
2670,Who was the head of the branch yelling at?,owner,foot,subordinate,base
2671,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
2672,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
2673,Where could you see an advertisement while reading news?,television,bus,email,web page
2674,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
2675,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
2676,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
2677,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
2678,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
2679,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
2680,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
2681,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
2682,When you play around with your dog they will have?,alive,health,fun,playing dead
2683,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
2684,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
2685,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
2686,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
2687,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
2688,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
2689,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
2690,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
2691,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
2692,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
2693,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
2694,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
2695,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
2696,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
2697,A person lived in my what?,demonstration,conference,building,garage
2698,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
2699,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
2700,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
2701,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
2702,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
2703,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
2704,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
2705,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
2706,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
2707,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
2708,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
2709,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
2710,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
2711,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
2712,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
2713,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
2714,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
2715,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
2716,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
2717,What type of person typically contracts illness?,hospital,head,sick person,elderly person
2718,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
2719,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
2720,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
2721,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
2722,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
2723,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
2724,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
2725,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
2726,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
2727,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
2728,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
2729,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
2730,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
2731,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
2732,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
2733,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
2734,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
2735,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
2736,What is a great place to lay in the sun?,in the basement,west,solar system,beach
2737,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
2738,The president is the leader of what institution?,walmart,white house,country,corporation
2739,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
2740,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
2741,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
2742,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
2743,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
2744,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
2745,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
2746,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
2747,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
2748,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
2749,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
2750,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
2751,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
2752,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
2753,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
2754,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
2755,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
2756,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
2757,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
2758,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
2759,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
2760,What do drugs do?,damage,cloud mind,lower i.q,cause illness
2761,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
2762,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
2763,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
2764,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
2765,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
2766,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
2767,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
2768,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
2769,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
2770,Who was the head of the branch yelling at?,owner,foot,subordinate,base
2771,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
2772,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
2773,Where could you see an advertisement while reading news?,television,bus,email,web page
2774,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
2775,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
2776,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
2777,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
2778,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
2779,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
2780,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
2781,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
2782,When you play around with your dog they will have?,alive,health,fun,playing dead
2783,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
2784,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
2785,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
2786,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
2787,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
2788,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
2789,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
2790,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
2791,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
2792,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
2793,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
2794,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
2795,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
2796,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
2797,A person lived in my what?,demonstration,conference,building,garage
2798,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
2799,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
2800,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
2801,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
2802,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
2803,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
2804,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
2805,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
2806,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
2807,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
2808,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
2809,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
2810,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
2811,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
2812,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
2813,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
2814,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
2815,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
2816,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
2817,What type of person typically contracts illness?,hospital,head,sick person,elderly person
2818,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
2819,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
2820,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
2821,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
2822,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
2823,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
2824,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
2825,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
2826,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
2827,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
2828,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
2829,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
2830,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
2831,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
2832,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
2833,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
2834,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
2835,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
2836,What is a great place to lay in the sun?,in the basement,west,solar system,beach
2837,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
2838,The president is the leader of what institution?,walmart,white house,country,corporation
2839,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
2840,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
2841,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
2842,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
2843,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
2844,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
2845,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
2846,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
2847,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
2848,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
2849,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
2850,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
2851,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
2852,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
2853,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
2854,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
2855,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
2856,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
2857,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
2858,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
2859,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
2860,What do drugs do?,damage,cloud mind,lower i.q,cause illness
2861,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
2862,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
2863,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
2864,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
2865,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
2866,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
2867,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
2868,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
2869,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
2870,Who was the head of the branch yelling at?,owner,foot,subordinate,base
2871,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
2872,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
2873,Where could you see an advertisement while reading news?,television,bus,email,web page
2874,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
2875,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
2876,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
2877,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
2878,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
2879,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
2880,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
2881,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
2882,When you play around with your dog they will have?,alive,health,fun,playing dead
2883,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
2884,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
2885,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
2886,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
2887,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
2888,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
2889,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
2890,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
2891,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
2892,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
2893,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
2894,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
2895,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
2896,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
2897,A person lived in my what?,demonstration,conference,building,garage
2898,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
2899,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
2900,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
2901,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
2902,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
2903,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
2904,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
2905,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
2906,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
2907,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
2908,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
2909,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
2910,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
2911,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
2912,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
2913,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
2914,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
2915,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
2916,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
2917,What type of person typically contracts illness?,hospital,head,sick person,elderly person
2918,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
2919,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
2920,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
2921,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
2922,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
2923,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
2924,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
2925,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
2926,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
2927,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
2928,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
2929,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
2930,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
2931,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
2932,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
2933,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
2934,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
2935,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
2936,What is a great place to lay in the sun?,in the basement,west,solar system,beach
2937,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
