,Question
723,Can speakers of modern Malay understand Old Malay?
724,What language besides Malay is in the Austronesia language family?
725,What language besides Malay is in the Austronesia language family?
726,Wasn't Malay language found in Sumatra?
727,Wasn't Malay language written using Pallava?
728,Was Malay language written using Pallava?
729,Had the language already been used as the lingua franca throughout the archipelago since the 15th century?
730,Do another distinguishing feature of Malay ( include Indonesian Malay )?
731,Is Malay spoken as local dialect of ethnic Malays?
732,Give an example of the tributary states of the Majapahit kingdom in eastern Java. 
733,Is Malay the one of the most widely spoken languages in the world?
734,Was it derived from Latin?
735,Is Melbourne the capital and most populous city in the state of Victoria?
736,Is Melbourne the capital and most populous city in the state of Victoria?
737,Is Melbourne home to Australia's busiest seaport?
738,Is Melbourne home to Australia's busiest seaport?
739,Does Melbourne have a large international student community?
740,Does Melbourne have a large international student community?
741,What is a resident of Melbourne known as?
742,What is a resident of Melbourne known as?
743,When was Melbourne officially declared as a city?
744,When was Melbourne officially declared as a city?
745,How many sister cities does the City of Melbourne have?
746,How many sister cities does the City of Melbourne have?
747,Where is Melbourne situated?
748,How many domestic tourists visit Melbourne?
749,How many domestic tourists visit Melbourne?
750,What religion holds majority in Melbourne?
751,What religion holds majority in Melbourne?
752,Did Albert Einstein keep a photograph of Faraday on his study wall?
753,Did Faraday marry Sarah Barnard?
754,Did Faraday also discover the laws of electrolysis?
755,Who discovered benzene?
756,Who discovered benzene?
757,Where was Michael Faraday born?
758,Where was Michael Faraday born?
759,What is the Faraday effect?
760,What is the Faraday effect?
761,Did Faraday discover diamagnetism?
762,How many siblings did Faraday have?
763,How many siblings did Faraday have?
764,Where is Michael Faraday buried?
765,Where is Michael Faraday buried?
766,Is faraday best known for his work with kinematics?
767,Is faraday best known for his work with kinematics?
768,was he active in the area now called environmental science?
769,was he active in the area now called environmental science?
770,did he discover benzene?
771,did he discover benzene?
772,who was his mentor?
773,who was his mentor?
774,what happened in 1824?
775,Who was Faraday's wife?
776,Who was Faraday's wife?
777,did he advise the british government on the production of chemical weapons for use in the crimean war?
778,did he advise the british government on the production of chemical weapons for use in the crimean war?
779,did faraday have strong maritime interests?
780,did faraday have strong maritime interests?
781,does the charge reside on the interior of a charged conductor?
782,does the charge reside on the interior of a charged conductor?
783,Wasn't Michelangelo abstemious?
784,Wasn't Michelangelo a homosexual?
785,When did Filippo Strozzi sell it to Francis I?
786,When was his house demolished?
787,Was Michelangelos mother Francesca di Neri del Miniato di Siena?
788,Was Michelangelo's output in every field during his long life prodigious?
789,Is French the least spoken language in Montreal?
790,Is French the least spoken language in Montreal?
791,Was Montreal incorporated as a city in 1832?
792,Was Montreal incorporated as a city in 1832?
793,Does Montreal lie at the confluence of several climatic regions?
794,Does Montreal lie at the confluence of several climatic regions?
795,Montreal was merged with how many surrounding municipalities?
796,Montreal was merged with how many surrounding municipalities?
797,Why did Montreal lose its status as the capital of the  Province of Canada in 1849?
798,Why did Montreal lose its status as the capital of the  Province of Canada in 1849?
799,What are the designs and decorations of the Montreal Metro System said to be?
800,What are the designs and decorations of the Montreal Metro System said to be?
801,Mount Royal Park's wooden design was created by what famous designer?
802,Mount Royal Park's wooden design was created by what famous designer?
803,The majority of The Greater Montreal Area follows what religion?
804,The majority of The Greater Montreal Area follows what religion?
805,Is English the language most often spoken in Montreal?
806,How many international airports does Montreal have?
807,How many international airports does Montreal have?
808,Who is the Mayor of Montreal?
809,Who is the Mayor of Montreal?
810,What is the name of the largest church in Montreal?
811,What is the name of the largest church in Montreal?
812,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?
813,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?
814,Does Montreal contain the largest church in Canada?
815,What is the largest primarily French-speaking city in the western world?
816,What is the largest primarily French-speaking city in the western world?
817,Is Nairobi the capital of Kenya?
818,Is Nairobi the capital of Kenya?
819,Was Nairobi founded in 1899?
820,Was Nairobi founded in 1899?
821,Is the current estimated population of Nairobi about 6 milion?
822,Is the current estimated population of Nairobi about 6 milion?
823,What is the current estimated population of Nairobi?
824,What is the current estimated population of Nairobi?
825,In what year was Nairobi founded?
826,In what year was Nairobi founded?
827,Which embassy in Nairobi was bombed in August 1998?
828,Which embassy in Nairobi was bombed in August 1998?
829,How many civilians died in the 1998 U.S. embassy bombing?
830,How many civilians died in the 1998 U.S. embassy bombing?
831,How many trades can the NSE make per day?
832,How many trades can the NSE make per day?
833,About how many people are estimated to live in Nairobi?
834,About how many people are estimated to live in Nairobi?
835,The district is bordered to the southwest by Uhuru Park and where?
836,When did the Catholic University of Eastern Africa which obtain its Letter of Interim Authority?
837,Is Central Park adjacent to Uhuru Park?
838,Give an example of the most prominent cities in Africa politically and financially. 
839,Is Nairobi not the capital as well as largest city of Kenya?
840,Does the city and its surrounding area also form the Nairobi Province?
841,Did Nikola Tesla die alone?
842,Did Nikola Tesla die alone?
843,Was Nikola Tesla close friends with Mark Twain?
844,Was Nikola Tesla close friends with Mark Twain?
845,Did Nikola Tesla use a technique called picture thinking?
846,Did Nikola Tesla use a technique called picture thinking?
847,When did Nikola Tesla appear on the cover of Time Magazine?
848,Who became adversaries with Nikola Tesla?
849,Who became adversaries with Nikola Tesla?
850,Where did Nikola Tesla move to in 1880?
851,Was Nikola Tesla's mother illiterate?
852,Was Nikola Tesla's mother illiterate?
853,How many siblings did Nikola Tesla have?
854,How many siblings did Nikola Tesla have?
855,Was Nikola Tesla a vegetarian?
856,Was Nikola Tesla a vegetarian?
857,Was Tesla an American citizen?
858,Was Tesla an American citizen?
859,Was Tesla on the cover of Time magazine?
860,Was Tesla on the cover of Time magazine?
861,Where did Tesla study electrical engineering?
862,Where did Tesla study electrical engineering?
863,When did Tesla receive his last patent?
864,When did Tesla receive his last patent?
865,What languages did Tesla speak?
866,Did Tesla win the Nobel Prize?
867,Did Tesla win the Nobel Prize?
868,Was Tesla rich at the time of his death?
869,Was Tesla rich at the time of his death?
870,What music group was named after Tesla?
871,What music group was named after Tesla?
872,Who spent the next 10 years painting for Look magazine?
873,When was his last painting for the Post published?
874,Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design?
875,Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?
876,Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?
877,Is he also noted for his work for the Boy Scouts of America (BSA)?
878,Where is the mouth of an octopus?
879,Where is the mouth of an octopus?
880,Around how many recognized octopus species are there?
881,Around how many recognized octopus species are there?
882,How many arms does an octopus have?
883,How many arms does an octopus have?
884,What is the range of lifespans of the octopus?
885,What is the range of lifespans of the octopus?
886,What is an example of something an octopus learned in a research experiment?
887,Are Octopus highly intelligent?
888,Do males use a specialized arm called a hectocotylus to insert spermatophores?
889,Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?
890,Is the collective form octopus usually reserved for animals consumed for food?
891,What happened in 1838?
892,When did Picasso make his first trip to Paris?
893,Give an example of the most comprehensive records extant of any major artists beginnings. 
894,Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?
895,Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?
896,Is he one of the most recognized figures in 20th-century art?
897,Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?
898,Are pianos used in Western music?
899,Are pianos used in Western music?
900,"Are ""upright pianos"" called ""vertical pianos""?"
901,"Are ""upright pianos"" called ""vertical pianos""?"
902,Did Bartolomeo Cristofori invent the modern piano?
903,Did Bartolomeo Cristofori invent the modern piano?
904,What is the middle pedal called on grand pianos?
905,What is the middle pedal called on grand pianos?
906,How many black keys do modern pianos have?
907,How many black keys do modern pianos have?
908,What is the sustain pedal called?
909,What is the sustain pedal called?
910,Where is Irving Berlin's piano located?
911,Where is Irving Berlin's piano located?
912,What kind of piano did Irving Berlin play?
913,What kind of piano did Irving Berlin play?
914,Is the left-most pedal on a grand piano called the una corda?
915,Is it advantageous for a grand piano's metal plate to be quite massive?
916,Is it advantageous for a grand piano's metal plate to be quite massive?
917,Is the mechanism in an upright piano perpendicular to its keys?
918,Is the mechanism in an upright piano perpendicular to its keys?
919,About how tall is a typical studio piano?
920,About how tall is a typical studio piano?
921,What are a piano's keys generally made of?
922,What are a piano's keys generally made of?
923,How many total keys does a typical modern piano have?
924,How many total keys does a typical modern piano have?
925,Why are upright pianos more compact?
926,Why are upright pianos more compact?
927,Do older pianos have more keys than modern pianos?
928,Do older pianos have more keys than modern pianos?
929,Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?
930,Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?
931,Have two of Renoirs paintings sold for more than US0 million?
932,Is Portuguese an official language of Andorra?
933,Does the Portuguese language have its roots in the Latin language?
934,Does Portuguese contain words from the Arabic language?
935,Where are there small Portuguese-speaking communities?
936,Where are there small Portuguese-speaking communities?
937,What are the two main groups of Portuguese dialects?
938,What are the two main groups of Portuguese dialects?
939,What event marked the end of the Old Portuguese period?
940,What event marked the end of the Old Portuguese period?
941,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?
942,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?
943,In which country is Portuguese the co-official language with Cantonese Chinese?
944,In which country is Portuguese the co-official language with Cantonese Chinese?
945,Wasn't Portuguese language spread by arriving Roman soldiers?
946,Is Portuguese an official language of several international organizations?
947,Was it used as the exclusive lingua franca on the island of Sri Lanka for almost 350 years?
948,Is the city named after the apostle Saint Peter?
949,Is the city named after the apostle Saint Peter?
950,Has the terrain in the city been artificially raised?
951,Has the terrain in the city been artificially raised?
952,What were some other names of the city?
953,What festival features fireworks  celebrating the end of the school year?
954,What festival features fireworks  celebrating the end of the school year?
955,Where do most people in urban Saint Petersburg live?
956,Where do most people in urban Saint Petersburg live?
957,What was made in Russia's largest foundry?
958,What was made in Russia's largest foundry?
959,When did the crime level become higher?
960,How to travel to work from the city to Moscow?
961,How to travel to work from the city to Moscow?
962,Who laid down the Peter and Paul Fortress?
963,When was the 7th symphony premiered?
964,Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. 
965,Is it often called just Petersburg (-RRB- and is informally known as Piter (-RRB-?
966,Is the standard of living in San Franciscio high?
967,Does San Francisco have a high percentage of gay and lesbian individuals?
968,Is San Franscico a popular tourist destination?
969,Is San Franscico a popular tourist destination?
970,How many state parks are in San Francisco?
971,How many state parks are in San Francisco?
972,Where is San Francisco?
973,Where is San Francisco?
974,What is the cause of local earthquakes?
975,What is the cause of local earthquakes?
976,Are more residents employed by small businesses than in 1977?
977,How does poverty in San Francisco compare to the nation-wide average?
978,Was Mission Bay campus opened in 2003
979,Was Mission Bay campus opened in 2003
980,Was the University of San Fransisco founded in 1855
981,Is Golden Gate Park the largest city park
982,Is Golden Gate Park the largest city park
983,What is Northern California's most widely circulated newspaper
984,What is Northern California's most widely circulated newspaper
985,What makes San Francisco among the top-ten North American destinations for conventions and conferences
986,What makes San Francisco among the top-ten North American destinations for conventions and conferences
987,Who manages Candlestick point
988,Who manages Candlestick point
989,Is Crissy field an airfield
990,Does the de Young museum house the Asian Art Museum
991,Does the de Young museum house the Asian Art Museum
992,What prompted the city to upgrade its building codes
993,What prompted the city to upgrade its building codes
994,Who laid out a street plan for the expanded S10_settlement?
995,When was a 43-acre Mission Bay campus opened?
996,When did it sign on the air?
997,Give an example of the largest two-year community colleges in the country. 
998,Give an example of the ten Beta World Cities. 
999,Is Swahili a Bantu language?
1000,Did Uganda make Swahili a required subject in primary schools?
1001,What is the Swahili word for the Swahili language?
1002,What is the Swahili word for the Swahili language?
1003,Is Swahili spoken in Mozambique?
1004,How does Swahili time run?
1005,How does Swahili time run?
1006,How many noun classes does Swahili have?
1007,How many noun classes does Swahili have?
1008,In what year did Germany seize Tanganyika?
1009,In what year did Germany seize Tanganyika?
1010,Which is the sub-Saharan indigenous language with the greatest number of speakers?
1011,Which is the sub-Saharan indigenous language with the greatest number of speakers?
1012,Is Swedish a descendant of Old Norse?
1013,Is Swedish a descendant of Old Norse?
1014,Does Swedish use the perfect participle to form the present perfect tense?
1015,Does Swedish use the perfect participle to form the present perfect tense?
1016,How many letters are in the basic Latin alphabet?
1017,How many letters are in the basic Latin alphabet?
1018,When did a standard and common language become available to all Swedes?
1019,When did the Soviet military forces occupy Estonia?
1020,When did the Soviet military forces occupy Estonia?
1021,How does Swedish language counterbalance the absence of cases?
1022,Is Taipei in a valley?
1023,Is Taipei in a valley?
1024,Was Taipei founded in the 18th century?
1025,Was Taipei founded in the 18th century?
1026,Is the National Palace Museum in Taipei?
1027,Is the National Palace Museum in Taipei?
1028,What is along the city's western border?
1029,What is along the city's western border?
1030,What is Taipei 101?
1031,What is Taipei 101?
1032,When is the Pacific typhoon season?
1033,When is the Pacific typhoon season?
1034,Who S10_sets up shrines?
1035,Who S10_sets up shrines?
1036,What does Taipei produce?
1037,Is the trumpet the musical instrument with the highest register in the brass family?
1038,Is the trumpet the musical instrument with the highest register in the brass family?
1039,Is a trumpet played by blowing air through closed lips?
1040,Is a trumpet played by blowing air through closed lips?
1041,Is the most common type of trumpet the B trumpet?
1042,Is the most common type of trumpet the B trumpet?
1043,What is the earliest date of the trumpet?
1044,What is the earliest date of the trumpet?
1045,What is a trumpet constructed of?
1046,What is a trumpet constructed of?
1047,What are the smallest trumpets referred to as?
1048,What are the smallest trumpets referred to as?
1049,Why does the cornet have a slightly mellower tone than the trumpet?
1050,Why does the cornet have a slightly mellower tone than the trumpet?
1051,What makes a trumpet fully chromatic?
1052,Were trumpet players heavily guarded?
1053,Were trumpet players heavily guarded?
1054,Are pocket trumpets compact B trumpets?
1055,Are pocket trumpets compact B trumpets?
1056,Was Dizzy Gillespie a famous trumpeter in 1998?
1057,What shape is a trumpet bent into?
1058,What shape is a trumpet bent into?
1059,What trumpet was the first to be allowed in the Christian Church?
1060,What trumpet was the first to be allowed in the Christian Church?
1061,The trumpet can be confused with what close relative?
1062,The trumpet can be confused with what close relative?
1063,What can be augmented with a fourth valve?
1064,What can be augmented with a fourth valve?
1065,What was Maynard Ferguson noted for being able to play accurately?
1066,What was Maynard Ferguson noted for being able to play accurately?
1067,What was built to play in both B and A keys?
1068,What was built to play in both B and A keys?
1069,What happened in 1894?
1070,What happened in nineteen fifty seven?
1071,Is the Breeze Eazy' ' method sometimes used to teach younger students?
1072,Do many players use a smaller mouthpiece on the piccolo trumpet?
1073,Is the trumpet constructed of brass tubing bent twice into an oblong shape?
1074,Give an example of the most influential musicians of the 20th century. 
1075,Were Slide trumpets the first trumpets allowed in the Christian church?
1076,Are there several types of trumpet?
1077,Was the Ottoman script replaced with a variant of the Latin alphabet?
1078,Was the Ottoman script replaced with a variant of the Latin alphabet?
1079,Is there a definite article in Turkish language?
1080,Is there a definite article in Turkish language?
1081,Is it possible to alter the word order to stress the importance of a certain phrase?
1082,Is it possible to alter the word order to stress the importance of a certain phrase?
1083,What is the official language of Turkey?
1084,What is the official language of Turkey?
1085,When was the Turkish Language Association founded?
1086,When was the Turkish Language Association founded?
1087,Who were the Orkhon inscriptions built for?
1088,Who were the Orkhon inscriptions built for?
1089,What was one of the results of the introduction of the new Turkish alphabet?
1090,What was one of the results of the introduction of the new Turkish alphabet?
1091,"Why does Lewis use ""absolute case"" instead of ""nominative""?"
1092,"Why does Lewis use ""absolute case"" instead of ""nominative""?"
1093,How many people speak Turkish worldwide?
1094,How many people speak Turkish worldwide?
1095,Is the spelling of Turkish phonetic?
1096,What percentage of the words in Turkish vocabulary have Turkish origins?
1097,What percentage of the words in Turkish vocabulary have Turkish origins?
1098,After what event was the Turkish Language Association established?
1099,What exception to the rules of vowel harmony do compound words have?
1100,Who is working to coin new Turkish word?
1101,What are the patterns of vowel harmony?
1102,What are the patterns of vowel harmony?
1103,What are the ways to join groups of nouns?
1104,Does Vietnamese have a comparatively large number of vowels?
1105,Is Vietnamese the mother tongue of the Vietnamese people?
1106,Is Vietnamese the mother tongue of the Vietnamese people?
1107,Is Vietnamese the official administrative language of Vietnam?
1108,Is Vietnamese the official administrative language of Vietnam?
1109,Was Vietnamese influenced by Chinese?
1110,Was Vietnamese influenced by Chinese?
1111,When did written Vietnamese become the official administrative language?
1112,When did written Vietnamese become the official administrative language?
1113,Have consonant clusters been lost?
1114,Have consonant clusters been lost?
1115,Is the Red River Delta traditionally poor?
1116,What kind of words have been borrowed from Chinese?
1117,What kind of words have been borrowed from Chinese?
1118,Is Vietnam independent from France?
1119,Was Vietnamese formally written using the Chinese writing system?
1120,Does Vietnamese have a large number of vowels?
1121,Does Vietnamese have dipthongs?
1122,What are the three dialect regions of Vietnamese?
1123,When was the reunification of Vietnam?
1124,When was the reunification of Vietnam?
1125,How many tones do Northern varieties have?
1126,How many tones do Northern varieties have?
1127,Does Vietnamese borrow from Latin and Greek?
1128,Did Vietnamese come to predominate politically in 2nd century BC?
1129,Do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?
1130,Do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?
1131,What happened in 1860?
1132,Who frequented the circle of the British-Australian artist John Peter Russell?
1133,Were the letters first annotated in 1913 by Theos widow Johanna van Gogh-Bonger?
1134,Was Kee seven years older than Van Gogh as well as had an eight-year-old son?
1135,Does a violin have four strings?
1136,Does a violin have four strings?
1137,Is the violin supported by the left shoulder?
1138,Is the violin supported by the left shoulder?
1139,Is the violin shaped like an hourglass?
1140,Is the violin shaped like an hourglass?
1141,What were strings first made out of?
1142,What were strings first made out of?
1143,What is a violin called informally?
1144,What is a violin called informally?
1145,What does vitula mean?
1146,What does vitula mean?
1147,What is a person that makes or repairs violins called?
1148,"What does the ""voice"" of a violin depend upon?"
1149,"What does the ""voice"" of a violin depend upon?"
1150,Is the violin a percussion instrument?
1151,What happened in 1980s?
1152,Who features violinist Boyd Tinsley?
1153,When did Charles IX order Amati to construct 24 violins for him?
1154,Is a string first tuned to a standard pitch?
1155,Is each node at an integer division of the string?
1156,Is the tuning G-D-A-E used for most violin music?
1157,Are concert xylophonese typically 3 1/2 or 4 octaves?
1158,Are concert xylophonese typically 3 1/2 or 4 octaves?
1159,Is folk music associated with western Europe?
1160,Is folk music associated with western Europe?
1161,Were xylophonists featured in the theatre in the 20th century?
1162,Were xylophonists featured in the theatre in the 20th century?
1163,What year were the first xylophone artifacts found?
1164,What year were the first xylophone artifacts found?
1165,The modern western-style xylophone has bars made of what material?
1166,The modern western-style xylophone has bars made of what material?
1167,The xylophone has been known in what country since the Middle Ages?
1168,The xylophone has been known in what country since the Middle Ages?
1169,What instrument was produced after the xylophone in the 1920s?
1170,What instrument was produced after the xylophone in the 1920s?
1171,The word xylophone is derived from two greek words: xylon and phone. What do these words mean?
1172,The word xylophone is derived from two greek words: xylon and phone. What do these words mean?
1173,Is the xylophone a musical instrument?
1174,Is the xylophone a musical instrument?
1175,Was the xylophone associated with the folk music of the United States by the 19th century?
1176,Was the xylophone associated with the folk music of the United States by the 19th century?
1177,Was it likely that the xylophone reached Europe during the Crusades?
1178,Was it likely that the xylophone reached Europe during the Crusades?
1179,The xylophone is an instrument from what family?
1180,The xylophone is an instrument from what family?
1181,How do the Java and Bali use xylophones?
1182,Some versions of xylophones have resonators made of what?
1183,Some versions of xylophones have resonators made of what?
1184,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?
1185,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?
1186,Does kelon increase or decrease tone quality of the xylophone?
1187,Does kelon increase or decrease tone quality of the xylophone?
1188,Do the different species of zebras interbreed?
1189,Do the different species of zebras interbreed?
1190,Do zebras sleep standing up?
1191,Do zebras sleep standing up?
1192,Have plains zebras been crossed with mountain zebras?
1193,Have plains zebras been crossed with mountain zebras?
1194,How many species of zebra are there?
1195,How many species of zebra are there?
1196,What do zebras eat?
1197,What are zebras hunted for?
1198,What are zebras hunted for?
1199,What areas do the Grevy's Zebras inhabit?
1200,What areas do the Grevy's Zebras inhabit?
1201,Which species of zebra is known as the common zebra?
1202,At what age can a zebra breed?
1203,At what age can a zebra breed?
