,Question,Answer,option2,option4,option3
359,Is eel blood toxic to humans?,Yes,both a and b,FLASE,No
360,How many species of true eels are there?,approximately 800 species,None of above,20,Happy
361,How many species of true eels are there?,There are approximately 800 species of true eels.,None of above,Google,No
362,What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.,both a and c,No,20
363,What do leptocephali eat?,Marine snow,both c and b,Google,No
364,What do leptocephali eat?,Leptocephali eat small particles called marine snow.,both c and b,Yes,No
365,Do all eels live in fresh water?,No,both c and b,2001,20
366,Is Finnish an official language of the European Union?,Yes,None of above,FLASE,Happy
367,Are the dialects of Finnish divided into two groups?,Yes,None of above,0.5,ALL
368,Is Finnish threatened by English?,No,both c and b,Legend,ALL
369,When did Proto-Uralic language arrive in Finland?,Around 1900 BCE,both a and b,Legend,FLASE
370,When did Proto-Uralic language arrive in Finland?,Proto-Uralic language arrived in Finland around 1900 BCE.,all,No,2
371,What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology,both c and b,2001,ALL
372,What are characteristic features of Finnish?,Characteristic features of Finnish are vowel harmony and an agglutinative morphology.,both a and c,0.5,FLASE
373,Where is the Kven language spoken?,Norway,None of above,1670,2
374,Where is the Kven language spoken?,The Kven language is spoken in Northern Norway.,all,ALL,No
375,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917,both c and b,2,Happy
376,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917.,None of above,FLASE,TRUE
377,Who wrote the first novel in Finnish?,Aleksis Kivi,both a and b,1670,2
378,Who wrote the first novel in Finnish?,The first novel in Finnish was published by Aleksis Kivi.,both a and c,FLASE,Happy
379,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish,None of above,20,TRUE
380,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish defined the official Finnish language.,both a and b,20,FLASE
381,What is the earliest extant transverse flute?,it dates from 433 BC,all,2,20
382,What is the earliest extant transverse flute?,Chi,both c and b,ALL,Happy
383,When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,both c and b,No,TRUE
384,When does a flute produce sound?,When a stream of air directed across a hole in the instrument creats a vibration of air at the hole.,both c and b,Github,FLASE
385,How can a flute's volume be increased?,a flute's volume can generally be increased by making its resonator and tone holes larger,None of above,Github,No
386,How can a flute's volume be increased?,A flute's volume can be increased by making its resonator and tone holes larger.,both c and b,No,2
387,Do open-ended flutes have brighter timbres?,yes,None of above,Legend,No
388,Do open-ended flutes have brighter timbres?,Yes.,None of above,TRUE,TRUE
389,Where was the oldest flute ever discovered found?,Germany,both a and c,Happy,TRUE
390,Where was the oldest flute ever discovered found?,Various parts of Germany.,both a and b,FLASE,Happy
391,Are Western flutes simpler than Indian flutes?,no,both a and c,2,ALL
392,Are Western flutes simpler than Indian flutes?,Yes.,both a and c,2,20
393,Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger,all,FLASE,ALL
394,Why is a police whistle very wide for its pitch?,It's volume is high either because of its larger resonator or larger tone holes.,both c and b,2001,Yes
395,What are the two main varieties of Indian flutes?,Bansuri and the Venu or Pullanguzhal.,None of above,help me,ALL
396,Has the flute been dated to prehistoric times?,yes,both c and b,Happy,Happy
397,Has the flute been dated to prehistoric times?,Yes,both a and c,No,2
398,Was the pan flute used in Greece?,yes,all,0.5,No
399,Was the pan flute used in Greece?,Yes,all,Legend,ALL
400,Can a flute be played with several different air sources?,yes,both c and b,Legend,No
401,Can a flute be played with several different air sources?,Yes,None of above,maybe,No
402,When was the pan flute used in Greece?,the 7th century BC,both c and b,0,No
403,When was the pan flute used in Greece?,7th century BC,both a and c,0.5,Yes
404,When did concert flutes begin appearing in concert ensembles?,the 16th-century,None of above,2001,2
405,When did concert flutes begin appearing in concert ensembles?,,both c and b,2001,ALL
406,How many main varieties of Indian flutes are currently used?,two,None of above,maybe,2
407,How many main varieties of Indian flutes are currently used?,Two,both a and c,ALL,2
408,What material is a chi flute fashioned from?,lacquered bamboo,both a and c,maybe,No
409,What material is a chi flute fashioned from?,Lacquered bamboo,both a and b,Github,20
410,How does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument,both a and c,2001,No
411,How does a flute player change the pitch of the sound?,Opening and closing holes in the body of the instrument,all,Google,No
412,What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle,both a and b,1670,TRUE
413,What is the most basic form of the flute?,Open tube which is blown like a bottle,both a and c,No,No
414,Has the dragon historically served as China's national emblem?,yes,both a and c,Google,No
415,Has the dragon historically served as China's national emblem?,Yes,None of above,0.5,FLASE
416,Do pandas hibernate?,no,both c and b,help me,No
417,Do pandas hibernate?,No,both c and b,help me,Happy
418,Do giant pandas attack humans?,yes,both a and c,TRUE,20
419,Do giant pandas attack humans?,Yes,all,Yes,2
420,What family is the panda a part of?,Ursidae (bear),all,Github,20
421,What family is the panda a part of?,Ursidae,both a and c,No,20
422,How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth,both c and b,1670,Yes
423,How long does it take for the panda cubs skin to turn gray?,One to two weeks,both a and c,TRUE,2
424,How many different names did Chinese writings give to the panda?,20,both a and b,0.5,Yes
425,How many different names did Chinese writings give to the panda?,20,both a and c,No,20
426,What foods do pandas eat?,bamboo,both a and b,No,ALL
427,What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis ,both a and c,2,TRUE
428,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,both c and b,1670,2
429,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,None of above,TRUE,Yes
430,Is the Giant Panda a mammal?,yes,both a and b,maybe,FLASE
431,Is the Giant Panda a mammal?,Yes,None of above,20,TRUE
432,Is the Giant Panda a terrestrial animal?,yes,both a and c,20,No
433,Is the Giant Panda a terrestrial animal?,Yes,both a and c,2,2
434,Is the Giant Panda an endangered species?,yes,all,Github,ALL
435,Is the Giant Panda an endangered species?,Yes,all,Google,Happy
436,Where do Giant Pandas live?,a few mountain ranges in central china,both a and c,Yes,No
437,When was the Giant Panda's genome sequenced?,2009,None of above,FLASE,Yes
438,When was the Giant Panda's genome sequenced?,2009,both a and c,Yes,No
439,How many subspecies of the Giant Panda are there?,Two,both c and b,Happy,Yes
440,How many subspecies of the Giant Panda are there?,Two,None of above,No,TRUE
441,Is the Giant Panda a carnivore?,Yes,None of above,No,2
442,Why is the Giant Panda an endangered species?,threatened by habitat loss,both c and b,Happy,TRUE
443,Why is the Giant Panda an endangered species?,It is threatened by continued habitat loss and by a very low birthrate,both c and b,TRUE,Yes
444,Is the population of wild Giant  Pandas growing?,Yes but uncertain,all,Happy,20
445,Is an acoustic guitar dependent on an external device?,No,both a and c,2,No
446,Is an acoustic guitar dependent on an external device?,No.,both a and c,20,TRUE
447,Is the battente smaller than a classical guitar?,Yes,all,help me,Yes
448,Is the battente smaller than a classical guitar?,Yes.,all,20,TRUE
449,Is the flamenco guitar similar to the classical guitar?,Yes,both c and b,Happy,Happy
450,Is the flamenco guitar similar to the classical guitar?,Yes.,both c and b,No,FLASE
451,Where is the headstock located?,end of the guitar neck furthest from the body,all,2001,ALL
452,Where is the headstock located?,At the end of the guitar.,both c and b,help me,No
453,Whom are guitars made and repaired by?,luthiers,both a and c,No,ALL
454,Whom are guitars made and repaired by?,Luthiers.,None of above,TRUE,ALL
455,Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar,both a and b,ALL,No
456,Why are Harp Guitars difficult to classify?,There are many variations within this type.,None of above,maybe,Yes
457,What is the bridge used for?,transfer the vibration from the strings to the soundboard,both a and c,2001,TRUE
458,What is the bridge used for?,The transfer of string vibrations.,all,20,Yes
459,Which guitars use three single-coil pickups?,Fender Statocaster type guitars,all,Happy,FLASE
460,Which guitars use three single-coil pickups?,Fender Stratocaster type guitars.,all,Legend,No
461,Is a guitar an instrument?,Yes,both c and b,FLASE,TRUE
462,Is a guitar an instrument?,yes,both c and b,1670,TRUE
463,Can guitars be divided into two broad categories?,Yes,both a and c,2,Happy
464,Can guitars be divided into two broad categories?,yes,all,help me,TRUE
465,Do picks come in many shapes and sizes?,Yes,all,0.5,20
466,Do picks come in many shapes and sizes?,yes,all,No,TRUE
467,How many strings does a guitar typically have?,Six,both a and c,FLASE,No
468,How many strings does a guitar typically have?,six,all,1670,ALL
469,What is located at the end of the guitar neck furthest from the body?,Headstock,all,Github,2
470,What is located at the end of the guitar neck furthest from the body?,headstock,both a and c,Github,ALL
471,What are most electric guitar bodies made of?,Wood,None of above,2,TRUE
472,What are most electric guitar bodies made of?,wood,both a and b,2,20
473,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument,both a and c,2,Happy
474,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument,both a and b,No,TRUE
475,What is the point called that is bolted or glued to the body of the guitar?,Neck Joint,both a and b,20,Yes
476,What is the point called that is bolted or glued to the body of the guitar?,Neck joint or 'Heel',None of above,ALL,ALL
477,Did Becquerel study science at the �cole des Ponts et Chauss�es?,Yes,both a and c,Happy,Happy
478,Did he become chief engineer in the Department of Bridges and Highways in 1892?,No,both a and c,Happy,Happy
479,Did he become chief engineer in the Department of Bridges and Highways in 1892?,yes,all,2001,2
480,Was Becquerel a French physicist?,Yes,all,No,20
481,Was Becquerel a French physicist?,yes,both c and b,No,No
482,Whom did he share the Nobel Prize with?,Pierre and Marie Curie,both a and c,2001,20
483,Whom did he share the Nobel Prize with?,Pierre and Marie Curie,None of above,TRUE,TRUE
484,When did he die?,1908,None of above,2001,2
485,When did he die?,1908,None of above,2001,Yes
486,What is the SI unit for radioactivity called?,becquerel,both a and b,FLASE,2
487,What is the SI unit for radioactivity called?,the becquerel (Bq),None of above,0.5,FLASE
488,Where are there craters named Becquerel?,Moon and Mars,all,No,2
489,Where are there craters named Becquerel?,on the moon and on mars,None of above,TRUE,Yes
490,Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity,both a and c,20,TRUE
491,Why did Bequerel win the Nobel Prize in Physics?,was the discoverer of radioactivity,None of above,1670,ALL
492,Was Isaac Newton British?,Yes.,both a and b,Legend,FLASE
493,Was Isaac Newton religious?,It is not clear.,both c and b,2,TRUE
494,Did Isaac Newton die in 1898?,No.,both c and b,1670,Happy
495,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.,all,0,Yes
496,Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz.,all,1670,Yes
497,Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.,both a and b,TRUE,2
498,When did Isaac Newton discover the generalized binomial theorem?,In 1665.,both a and b,2001,2
499,When did Isaac Newton discover the generalized binomial theorem?,In 1665.,all,Happy,2
500,Did the Occult influence Newton's theory of gravitation?,Yes.,None of above,ALL,ALL
501,Were Newton's religious views consistent with Anglicanism?,No.,both a and b,Github,Happy
502,Which fruit inspired Isaac Newton's theory of gravitation?,The apple.,both c and b,1670,Happy
503,Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,both a and c,2001,Happy
504,Was Sir Isaac Newton an English physicist and mathematician?,yes,None of above,TRUE,ALL
505,Was Sir Isaac Newton an English physicist and mathematician?,yes,both c and b,1670,20
506,Did he build the first practical reflecting telescope?,yes,None of above,Google,2
507,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth,both c and b,Happy,No
508,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth,both a and c,1670,No
509,When was the Principia published?,1687,None of above,help me,Happy
510,When was the Principia published?,1687,both a and c,TRUE,20
511,Where is there a Newton statue on display?,Oxford University Museum of Natural History ,None of above,0.5,20
512,Where is there a Newton statue on display?,Oxford University Museum of Natural History,all,1670,No
513,Where was Isaac Newton buried?,Westminster Abbey,both a and c,Yes,20
514,Where was Isaac Newton buried?,Westminster Abbey,None of above,2001,No
515,What religion did Isaac Newton follow?,he never made a public declaration of his private faith,both a and c,1670,FLASE
516,What religion did Isaac Newton follow?,unorthodox Christian,None of above,0,FLASE
517,What food gave Isaac Newton clues to his theory of gravity?,apple,both a and c,Happy,Happy
518,What food gave Isaac Newton clues to his theory of gravity?,apple,both c and b,FLASE,2
519,Who was a farmer and later a land surveyor for the government?, LeRoy Pollock was a farmer and later a land surveyor for the government.,both a and b,Yes,Yes
520,When were his papers donated by Lee Krasner?,In 1983.,both a and b,TRUE,TRUE
521,Did Free Jazz feature a Pollock painting as its cover artwork?,Yes.,both c and b,TRUE,2
522,Give an example of the origins of the term action painting. ,Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting.,None of above,Legend,2
523,Is the Wisma building the tallest building in Indonesia?,yes,all,maybe,ALL
524,is there a chinese community in jakarta?,yes,both c and b,Google,TRUE
525,is there a chinese community in jakarta?,Yes.,all,2001,No
526,Is Jakarta the 12th largest city in the world?,yes,both c and b,Yes,No
527,Is Jakarta the 12th largest city in the world?,Yes.,all,FLASE,20
528,What is the capital of Indonesia?,Jakarta,both a and b,FLASE,No
529,What is the capital of Indonesia?,The capital of Indonesia is Jakarta.,both a and c,Happy,ALL
530,What is the official name of Jakarta?,Daerah Khusus Ibukota Jakarta,both a and c,Github,Yes
531,What is the official name of Jakarta?,Daerah Khusus.,all,Github,FLASE
532,How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate ,all,Happy,No
533,How is the climate in the city?,The city is hot and humid.,all,Happy,TRUE
534,Where does the name of the city Jakarta come from?,"The name Jakarta is derived from the Sanskrit word ""Jayakarta.""",all,ALL,Happy
535,How is the city's governor chosen?,election,both c and b,0,TRUE
536,How is the city's governor chosen?,Through election.,both a and c,Yes,Happy
537,Why does Jakarta suffer frequent flooding?,Because it is located approximately eight meters above the sea level,all,2,TRUE
538,Is the the biggest university in Jakarta the University of Indonesia,yes,both a and b,Happy,TRUE
539,Is Jakarta a city,yes,both c and b,Legend,FLASE
540,Is Jakarta a city,Yes,None of above,0,2
541,Is the most important river the Ciliwung River,yes,both a and c,Yes,20
542,Is the most important river the Ciliwung River,Yes,both c and b,Happy,No
543,Where is Jakarta located,northwest coast of Java,None of above,TRUE,FLASE
544,Where is Jakarta located,On the northwest coast of Java,both a and c,2001,FLASE
545,Who created Monas Park,General Herman Willem Deandels,all,FLASE,FLASE
546,Who created Monas Park,Dutch Governor General Herman Willem Deandels,both a and b,Yes,2
547,Do mikrolets travel on the main roads?,no,both a and c,ALL,Happy
548,Do mikrolets travel on the main roads?,No,both c and b,2,FLASE
549,Did the economy improve in Jakarta in 2007,yes,all,0.5,FLASE
550,Did the economy improve in Jakarta in 2007,Yes,both a and b,Google,Yes
551,Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.,all,2001,Yes
552,Did Jayawikarta's soldiers attack the Dutch fortress?,yes,None of above,ALL,Happy
553,Did Suharto resign as president?,Yes,both a and c,Happy,Happy
554,Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?,Yes,both a and b,help me,Yes
555,Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?,Yes,both c and b,Happy,Happy
556,Give an example of the many Sukarno era monuments in the city. ,The West Irian Liberation Statue is one of the many Sukarno era monuments in the city. ,None of above,20,Happy
557,Is James Watt French?,No,both a and b,help me,20
558,Did James Watt improve an engine?,Yes,all,2,20
559,Is there a statue of Watt in the White House?,No,both c and b,2,2
560,When did Watt retire?,In 1800.,None of above,1670,Happy
561,When did Watt retire?,Watt retired in 1800.,None of above,help me,20
562,Where is the James Watt Memorial College?,In Greenock.,both a and b,Github,Happy
563,Where is the James Watt Memorial College?,The James Watt Memorial  is in Greenock.,both a and b,Legend,2
564,Why is the watt named after Watt?,The watt is named after him for his contributions to the development of the steam engine.,both c and b,ALL,2
565,Why is the watt named after Watt?,The watt is named after James Watt for his contributions to the development of the steam engine.,both a and b,FLASE,ALL
566,Where did Watt attend university?,Watt did not attend school regularly.,all,No,TRUE
567,Where did Watt attend university?,He did not attend a university.,None of above,Yes,FLASE
568,Was James Watt a member of the Lunar Society?,,None of above,TRUE,FLASE
569,Was James Watt a member of the Lunar Society?,,None of above,20,ALL
570,Did James Watt marry his cousin?,,all,Google,ALL
571,Did James Watt marry his cousin?,,both c and b,Happy,Happy
572,Was Watt married to Agnes Muirhead?,,both a and c,ALL,Happy
573,Was Watt married to Agnes Muirhead?,,None of above,0.5,Happy
574,How old was James Watt when his mother died?,,both a and b,1670,Happy
575,How old was James Watt when his mother died?,,None of above,maybe,ALL
576,In what year did Watt retire?,,both a and b,0,Happy
577,In what year did Watt retire?,,None of above,Yes,2
578,Where was Watt buried?,,both a and c,Github,20
579,Where was Watt buried?,,both a and c,FLASE,Happy
580,When did Watt S10_set up his workshop at the University of Glasgow?,,both a and c,Happy,2
581,When did Watt S10_set up his workshop at the University of Glasgow?,,both a and b,Github,FLASE
582,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,,both a and b,FLASE,ALL
583,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,,both a and c,Yes,Happy
584,How old was Watt when he died?,,both c and b,TRUE,FLASE
585,How old was Watt when he died?,,both a and b,help me,Happy
586,What happened in the early 20th century?,The koalas of South Australia were largely exterminated.,both a and c,0,No
587,Do Koalas have a slow metabolism?,yes,None of above,No,FLASE
588,Does the koala fill the same ecological role as the sloth of South America?,The koala fills the same ecological role as the sloth of South America.,None of above,0,2
589,Is the long term viability of the koala therefore threatened by genetic weakness?,The long term viability of the koala is therefore threatened by genetic weakness.,both a and c,20,2
590,Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.,both a and c,TRUE,2
591,Is Korean the official language of Korea?,Yes,None of above,Happy,FLASE
592,Is Korean the official language of Korea?,Yes,both c and b,Happy,TRUE
593,"Is the word ""Korean"" derived from Goryeo?",Yes,both c and b,Legend,Happy
594,"Is the word ""Korean"" derived from Goryeo?",yes,None of above,ALL,FLASE
595,Are all dialects of Korean similar to each other?,Yes,both c and b,Legend,Yes
596,Are all dialects of Korean similar to each other?,Yes,both a and b,FLASE,20
597,About how many Koreans speakers are there?,78 million,both a and b,help me,FLASE
598,About how many Koreans speakers are there?,78 million Korean speakers,both c and b,Google,ALL
599,What is the official language of North Korea?,Korean,both a and b,ALL,ALL
600,What is the official language of North Korea?,Korean,both c and b,No,TRUE
601,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category,both a and b,ALL,Happy
602,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category,both a and c,2,20
603,Where do the majority of loanwords other than Sino-Korean come from?,modern times,all,Happy,TRUE
604,How many Korean speakers are there?,There are about 78 million Korean speakers.,both c and b,1670,Yes
605,How many Korean speakers are there?,,all,No,ALL
606,How many parts of speech does the Korean language contain?,The Korean Language contains nine parts of speech. ,both a and c,TRUE,FLASE
607,How many parts of speech does the Korean language contain?,,both c and b,1670,Happy
608,How many verb paradigms are there in Korean?,There are seven verb paradigms or speech levels in Korean.,both a and c,No,TRUE
609,How many verb paradigms are there in Korean?,,both a and c,FLASE,2
610,What is the Sino-Korean system of numbers based on?,The Sino-Korean system is nearly entirely based on the Chinese numerals.,all,maybe,TRUE
611,What is the Sino-Korean system of numbers based on?,,both a and c,maybe,FLASE
612,What is another term for Korean adjectives?,"Adjectives are also known as ""descriptive verbs"" or ""stative verbs"".",both c and b,TRUE,2
613,What is another term for Korean adjectives?,,None of above,FLASE,Happy
614,Is modern Korean written in columns or rows?,It is written in rows.,both a and c,FLASE,ALL
615,Is modern Korean written in columns or rows?,,both a and c,20,Happy
616,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,Sino-Korean makes up 30% of the Korean language.,all,2,20
617,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,,None of above,FLASE,2
618,Do Chinese and Japanese have spaces between words?,,None of above,maybe,No
619,From which languages is Korean descended?,,both c and b,Yes,2
620,Are there seven verb paradigms or speech levels in Korean?,Yes.,both a and b,Google,No
621,Is Modern Korean written with spaces between words?,Yes.,both a and c,Happy,20
622,Are the Korean names for the language based on the names for Korea used in North as well as South Korea?,Yes.,both c and b,20,2
623,Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?,Yes.,both c and b,Google,TRUE
624,Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?,The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists.,None of above,FLASE,No
625,Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?,Yes,both a and c,No,2
626,Is Kuala Lumpur the capitol of Malaysia? disfluent,Yes,both a and c,TRUE,Yes
627,Is Kuala Lumpur the capitol of Malaysia? disfluent,,both a and c,2,Happy
628,Is Kuala Lumpur in the Selangor state?,Yes,all,0.5,No
629,Is Kuala Lumpur in the Selangor state?,,both c and b,20,TRUE
630,What's the population of Kuala lumpur?,1.6 million,all,Yes,FLASE
631,What's the population of Kuala lumpur?,,both a and c,maybe,20
632,What language do they speak in Kuala Lumpur?,Bahasa Melayu,None of above,1670,TRUE
633,What language do they speak in Kuala Lumpur?,,all,FLASE,2
634,"What does the name ""Kuala Lumpur"" mean?",,None of above,0.5,Happy
635,What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport,None of above,Happy,No
636,What airports does Kuala Lumpur have?,,None of above,ALL,No
637,How long was Kuala Lumpur occupied by the Japanese?,42 months,all,maybe,ALL
638,How long was Kuala Lumpur occupied by the Japanese?,,None of above,TRUE,Yes
639,How many seasons does Kuala Lumpur experience?,1,both a and c,ALL,2
640,How many seasons does Kuala Lumpur experience?,,both c and b,2001,TRUE
641,When were the colonial buildings in Kuala Lumpur constructed?,toward the end of the 19th and early 20th centuries,None of above,20,2
642,When were the colonial buildings in Kuala Lumpur constructed?,,both a and c,help me,ALL
643,Is it a host city for the Formula One World Championship?,Yes,both a and c,Legend,20
644,Is it a host city for the Formula One World Championship?,,both c and b,2001,2
645,is the central market located in the proximity of the pertama complex?,No,None of above,Yes,TRUE
646,is the central market located in the proximity of the pertama complex?,,both a and b,Yes,Happy
647,is it home to the parliament of malaysia?,Yes,both a and b,Happy,No
648,is it home to the parliament of malaysia?,,both a and c,0.5,Yes
649,when did kuala lumpur become a federal territory of malaysia?,,both c and b,0,No
650,What is the city's population?,1.6 million,both c and b,Legend,ALL
651,What is the city's population?,,both c and b,Yes,FLASE
652,What is the official religion in the country?,Islam,both a and b,Yes,20
653,What is the official religion in the country?,,both c and b,2,ALL
654,Is there a more industrialized region in malaysia?,No,both c and b,ALL,No
655,Is there a more industrialized region in malaysia?,,all,1670,ALL
656,what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5*,all,Legend,TRUE
657,what is the name of the event that draws the worlds top riders to malaysia?,,None of above,FLASE,FLASE
658,Wasn't Leonardo da Vinci valued as an engineer?,no,both a and b,0,20
659,Who left Verroccio's studio?,Leonardo da Vinci left Verroccio's studio.,None of above,FLASE,Yes
660,When did he flee to Venice?,In 1499.,both a and b,FLASE,Happy
661,Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes.,both c and b,2001,Happy
662,Are lobsters invertebrates?,Yes,both a and b,Yes,2
663,Are lobsters invertebrates?,Yes,both a and b,2001,Happy
664,Are lobsters kosher?,No,all,Github,No
665,Are lobsters kosher?,No,all,Yes,2
666,Do lobsters have blue blood?,yes,both a and c,maybe,No
667,Do lobsters have blue blood?,Yes,both c and b,0.5,Happy
668,How many legs do lobsters have?,10.,both c and b,Google,FLASE
669,How many legs do lobsters have?,10,None of above,No,FLASE
670,Where are lobsters found?,In all oceans.,both c and b,Yes,FLASE
671,Where are lobsters found?,In all oceans,both c and b,20,TRUE
672,What is the mean level of mercury in American lobsters?,0.31 ppm,all,20,20
673,What is the mean level of mercury in American lobsters?,0.31 ppm,both c and b,Google,20
674,Do lobsters feel pain?,yes.,all,Github,No
675,Do lobsters feel pain?,Yes,both a and c,2001,FLASE
676,Did the Moche people worship lobsters?,yes.,both a and c,20,2
677,Did the Moche people worship lobsters?,Yes,all,maybe,FLASE
678,What is the caridoid escape reaction?,Swimming backwards quickly by curling and uncurling their abdomen.,all,TRUE,TRUE
679,What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen,None of above,2001,2
680,Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes,None of above,2,Yes
681,Were the recitations of the Ancient Greeks accompanied by lyre playing?,,both a and c,TRUE,No
682,Does a classical lyre have a hollow body?,Yes,both a and b,Yes,TRUE
683,Does a classical lyre have a hollow body?,,all,Happy,ALL
684,Is the lyre a stringed musical instrument?,Yes,both a and b,FLASE,FLASE
685,Is the lyre a stringed musical instrument?,,all,help me,Happy
686,Which constellation is said to resemble a lyre shape?,Lyra,both c and b,0.5,TRUE
687,Which constellation is said to resemble a lyre shape?,,both a and b,2,FLASE
688,How many raised arms are extending from the sound-chest of a classical lyre?,Two,both a and b,Github,Happy
689,How many raised arms are extending from the sound-chest of a classical lyre?,,both c and b,2001,Yes
690,What were the strings of a classical lyre made of?,Gut,both a and c,0.5,TRUE
691,What were the strings of a classical lyre made of?,,both a and b,ALL,FLASE
692,Is the foot pedal framework for a piano called a lyre?,Yes,both c and b,0.5,FLASE
693,Is the foot pedal framework for a piano called a lyre?,,both a and c,2001,Yes
694,Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body.,None of above,0.5,TRUE
695,Where was the deepest note of the classical lyre in relation to the player's body?,,both a and b,20,2
696,Does a standard piano have fewer strings than a harp?,No,both a and b,0.5,Happy
697,Does a standard piano have fewer strings than a harp?,,None of above,Legend,Happy
698,Is Malay the official language of Iraq?,No,both a and c,2001,Happy
699,Could Malay have originated from Sumatra island?,Yes.,all,Github,2
700,Is Malay an agglutinative language?,Yes,both a and c,Legend,Yes
701,Is Malay an agglutinative language?,Yes.,None of above,ALL,Yes
702,What family is Malay a member of?,Austronesian family,both a and b,Legend,FLASE
703,What family is Malay a member of?,Austronesian.,both a and b,0.5,Happy
704,What is the basic word order in Malay?,Subject Verb Object,both c and b,TRUE,20
705,What is the basic word order in Malay?,Subject Object Verb.,both a and c,0,Yes
706,Are there many words in Malay that use natural gender?,No,both a and c,FLASE,Yes
707,How are new words formed in Malay?,three methods.,both a and c,No,TRUE
708,Is Malay in the Austronesian family of languages?,Yes,both a and b,No,20
709,Is Malay in the Austronesian family of languages?,,both a and c,0.5,20
710,Is Malay an agglutinative language?,Yes,all,TRUE,Happy
711,Is Malay an agglutinative language?,,both a and b,Github,No
712,Is there one negation word in Malay?,No,both c and b,0.5,No
713,Is there one negation word in Malay?,,all,2001,ALL
714,How many parts of speech are there in Malay?,Four,None of above,Legend,2
715,How many parts of speech are there in Malay?,,both c and b,Happy,No
716,What is the basic word order in Malay?,Subject Verb Object,both a and b,Happy,Yes
717,What is the basic word order in Malay?,,both c and b,0.5,20
718,What is the national language in Malaysia?,Malay ,both a and b,2,FLASE
719,What is the national language in Malaysia?,,all,Github,Happy
720,Do linguists consider Malay to be a single language?,No,None of above,FLASE,2
721,Do linguists consider Malay to be a single language?,,both a and b,20,FLASE
722,Can speakers of modern Malay understand Old Malay?,No,both a and c,1670,20
723,Can speakers of modern Malay understand Old Malay?,,both a and b,2,No
724,What language besides Malay is in the Austronesia language family?,Malagasy,both a and c,2,ALL
